location,latitude,longitude,start_arc,start_inner_arc,start_text
Cuba,21.61815655,-78.98519244,20,5,10
Denmark,56.03948423,9.911994799,20,5,10
Saudi_Arabia,24.12519505,44.55035791,30,7,12
Yemen,15.91274845,47.59768995,20,5,10
Italy,42.78898763,12.09417271,20,5,10
Comoros,-11.68234778,43.36612085,20,5,8
Gabon,-0.597666682,11.78561199,20,5,10
Norway,64.33843933,14.00455428,30,7,12
Kyrgyzstan,41.45688326,74.5153831,20,5,10
Tonga,-21.15690832,-175.1659089,20,5,8
Brunei,4.487968886,114.7088777,20,5,8
Madagascar,-19.39245308,46.70030488,20,5,10
Libya,27.04906089,18.03197835,30,7,12
Bahrain,26.06960704,50.53386883,20,5,8
Venezuela,7.117565805,-66.15076925,20,5,10
Togo,8.536076449,0.968968946,20,5,10
South_Korea,36.42170908,127.8374194,20,5,10
Turkmenistan,39.11428101,59.41994847,20,5,10
Ireland,53.17645593,-8.14840273,20,5,10
Kenya,0.557128375,37.83907697,20,5,10
Slovenia,46.12844925,14.79277494,20,5,10
Sweden,62.79292702,16.75176683,30,7,12
Greenland,74.43373705,-42.29674503,30,7,12
Lao,18.50459671,103.757107,20,5,10
Vanuatu,-15.3,167.06213,20,5,8
Kazakhstan,48.16994008,67.33999416,30,7,12
Fiji,-17.42928036,178.3668119,20,5,10
Finland,64.53856111,26.28517522,30,7,12
Malaysia,3.789314131,109.7568498,20,5,10
Uzbekistan,41.7560931,63.14125002,20,5,10
Montenegro,42.78748828,19.24169648,20,5,10
Poland,52.13386384,19.41074331,20,5,10
Estonia,58.65057276,25.61270412,20,5,10
Saint_Lucia,13.92746442,-60.9797677,20,5,8
Cote_D'Ivoire,7.624105993,-5.544883615,20,5,10
Monaco,43.73158369,7.418275376,20,5,8
Bahamas,24.64789462,-78.05857206,20,5,8
Brazil,-10.77769466,-53.09714362,30,7,12
Malawi,-13.21964581,34.30733344,20,5,10
Republic_Of_The_Congo,-0.839540461,15.22246859,20,5,10
Nigeria,9.595546643,8.104611216,20,5,10
Haiti,18.90019912,-72.64899402,20,5,10
Peru,-9.193172017,-74.3459971,30,7,12
Jamaica,18.17147263,-77.29028565,20,5,10
Panama,8.515702484,-80.12394607,20,5,10
Samoa,-13.62458833,-172.4949285,20,5,8
Georgia,42.187528,43.52298578,20,5,10
Ukraine,49.0182383,31.38536245,30,7,12
India,22.91358991,79.63027824,30,7,12
Costa_Rica,9.939358141,-84.16749637,20,5,10
El_Salvador,13.7320867,-88.86609254,20,5,10
Tuvalu,-7.484081194,178.6903234,20,5,8
Argentina,-35.36849683,-65.16886067,30,7,12
Chad,15.33352608,18.70686065,30,7,12
Guyana,4.795063439,-58.97629079,20,5,10
Lithuania,55.34137731,23.87894684,20,5,10
Dominica,15.43487741,-61.36383463,20,5,8
Iraq,33.05870012,43.76498014,20,5,10
Thailand,15.15277805,101.0204493,20,5,10
Portugal,39.6735831,-7.968858576,20,5,10
Germany,51.09666998,10.396592,20,5,10
Hungary,47.15185262,19.39995013,20,5,10
Saint_Kitts_And_Nevis,17.36153947,-62.79657863,20,5,8
Slovakia,48.71234588,19.50467763,20,5,10
USA,39.5,-98.35,30,7,12
Oman,20.58187614,56.09919443,20,5,10
Mongolia,46.83577302,103.0638653,30,7,12
Pakistan,29.99891675,69.37476865,30,7,12
Iran,32.56431695,54.3115107,30,7,12
Guatemala,15.69220187,-90.36010679,20,5,10
San_Marino,43.92607018,12.46427301,20,5,8
Mexico,23.94304271,-102.5447452,30,7,12
Sao_Tome_And_Principe,0.233810036,6.597145051,20,5,8
Guinea_Bissau,12.04848058,-14.90249263,20,5,10
Senegal,14.35870715,-14.46846236,20,5,10
Japan,37.6575,140,20,5,10
Morocco,29.12460793,-8.882559878,20,5,10
France,46,2,30,7,12
Bulgaria,42.75450264,25.21843877,20,5,10
Luxembourg,49.76557048,6.136041345,20,5,8
Russia,61.94579414,96.75202009,30,7,12
Liechtenstein,47.11941205,9.566831912,20,5,8
Andorra,42.51085807,1.535315378,20,5,8
Papua_New_Guinea,-6.450070804,145.0699484,20,5,10
United_Arab_Emirates,23.90855728,54.37749893,20,5,10
Niger,17.41734454,9.40232573,30,7,12
Barbados,13.18547753,-59.54900382,20,5,8
Sudan,16.03437676,29.99258182,30,7,12
Greece,39.24540365,22.73832807,20,5,10
South_Sudan,7.289478875,30.32904824,20,5,10
Israel,31.47794317,35.02174909,20,5,10
Indonesia,-2.191407024,117.157114,30,7,12
Trinidad_And_Tobago,10.41435275,-61.27807721,20,5,8
Liberia,6.443642757,-9.312018576,20,5,10
Guinea,10.43221578,-10.93233283,20,5,10
Netherlands,52.30229573,5.680407761,20,5,10
Mauritius,-20.28159911,57.57939944,20,5,8
Suriname,4.116586862,-55.91522028,20,5,10
Benin,9.661036919,2.345939244,20,5,10
Lebanon,33.93795762,35.91676301,20,5,10
Afghanistan,33.83584988,66.02705297,20,5,10
Latvia,56.85367649,24.92939558,20,5,10
Mozambique,-17.2434498,35.56023985,20,5,10
Qatar,25.29188088,51.18587662,20,5,10
Austria,47.5896356,14.11477539,20,5,10
Burundi,-3.34320002,29.94871759,20,5,10
Timor_Leste,-8.794244682,125.9064718,20,5,10
Tunisia,34.11661473,9.564966437,20,5,10
Uruguay,-32.80222751,-56.03307778,20,5,10
Burkina_Faso,12.28336399,-1.727917756,20,5,10
Nicaragua,12.83083308,-85.02769832,20,5,10
Croatia,45.5,16.39794,20,5,10
Rwanda,-2.007975274,29.91406502,20,5,10
Bosnia_And_Herzegovina,44.1648018,17.80159962,20,5,10
Ghana,7.966263501,-1.215061132,20,5,10
South_Africa,-28.99512327,25.0929241,30,7,12
Syrian_Arab_Republic,35.00683808,38.48491602,20,5,10
Kosovo,42.59349511,20.91936512,20,5,10
DRC,-2.882416752,23.66544346,30,7,12
Philippines,11.79186434,122.9056935,20,5,10
Cabo_Verde,15.10143147,-23.63575612,20,5,8
Djibouti,11.73220411,42.59728655,20,5,10
UK,54.013,-2.32,20,5,10
Seychelles,-4.664239012,55.46355707,20,5,8
Eswatini,-26.57350843,31.49504666,20,5,10
Bhutan,27.39209939,90.42900336,20,5,10
Dominican_Republic,18.89174457,-70.54727836,20,5,10
Egypt,26.56965614,29.76713815,30,7,12
Turkey,39.06714173,35.20180532,30,7,12
Bolivia,-16.71608619,-64.65080666,30,7,12
Chile,-36.7852,-72,30,7,12
Kiribati,1.853457852,-157.3404959,20,5,8
Spain,40.29516333,-3.605668045,20,5,10
Belize,17.21382009,-88.7045426,20,5,10
Cameroon,5.695145186,12.74806043,20,5,10
Uganda,1.28636829,32.37743091,20,5,10
Solomon_Islands,-9.019339736,160.0290586,20,5,10
Canada,60,-110,30,7,12
China,36.56630819,103.8226034,30,7,12
Cyprus,35.06320484,33.19129516,20,5,10
Nepal,28.26435216,83.89637593,20,5,10
Tajikistan,38.53506937,71.00009749,20,5,10
Malta,35.87081749,14.47646861,20,5,8
Marshall_Islands,6.084583245,171.7332939,20,5,8
Federated_States_Of_Micronesia,6.873132308,158.2253082,20,5,8
Antigua_And_Barbuda,17.07605332,-61.80325105,20,5,8
Colombia,3.909432186,-73.07399462,30,7,12
Romania,45.83819891,24.9730381,20,5,10
Palau,7.551557004,134.5786641,20,5,8
North_Korea,40.13827293,127.1678774,20,5,10
Paraguay,-23.22886609,-58.39705164,20,5,10
Sri_Lanka,7.61753123,80.70389971,20,5,10
Jordan,31.24379261,36.78690515,20,5,10
Serbia,44.25254653,20.76573402,20,5,10
Central_African_Republic,6.566572966,20.49285392,20,5,10
Angola,-12.29900182,17.55400051,30,7,12
Mali,17.35001551,-3.523464656,30,7,12
Bangladesh,23.93519517,90.2548272,20,5,10
Singapore,1.352649222,103.8873077,20,5,8
Grenada,12.11474313,-61.68525261,20,5,8
Czech_Republic,49.73691119,15.35681883,20,5,10
Equatorial_Guinea,1.676993882,10.37081083,20,5,10
Taiwan,23.7552313,120.9707902,20,5,10
Belgium,50.62392427,4.703775133,20,5,10
Armenia,40.29486131,44.92163862,20,5,10
Zimbabwe,-18.9998499,29.87824615,20,5,10
North_Macedonia,41.59612167,21.71805536,20,5,10
Albania,41.14953481,20.0570022,20,5,10
Nauru,-0.525371589,166.9339605,20,5,8
Antarctica,-80.57061102,20.96323499,30,7,12
Honduras,14.81878236,-86.61258362,20,5,10
Belarus,53.54921974,28.04146182,20,5,10
Botswana,-22.18990798,23.81489965,20,5,10
Eritrea,15.38496818,38.79693499,20,5,10
Lesotho,-29.58497957,28.2399091,20,5,10
Maldives,-0.605924463,73.08758343,20,5,8
Mauritania,20.26045267,-10.33422193,30,7,12
Algeria,28.16025735,2.671582228,30,7,12
Kuwait,29.33381009,47.59258203,20,5,10
Australia,-25.73773423,134.4830383,30,7,12
Vietnam,13,108.5,20,5,10
Myanmar,21.17474308,96.50900273,20,5,10
Tanzania,_United_Republic_Of,-6.267550637,20,5,10
New_Zealand,-41.78462921,172.5902552,20,5,10
Iceland,65.00073517,-18.69482756,20,5,10
Somalia,6.05866,47,20,5,10
Ecuador,-1.448319291,-78.56911793,20,5,10
Azerbaijan,40.28750369,47.50516538,20,5,10
Sierra_Leone,8.570816027,-11.78467853,20,5,10
Saint_Vincent_And_Grenadines,13.24331532,-61.19222794,20,5,8
Moldova,47.19544842,28.44079647,20,5,10
Zambia,-13.45711302,27.80312418,20,5,10
Switzerland,46.80616893,8.208742888,20,5,10
Ethiopia,8.627421814,39.63609906,30,7,12
Gambia,13.44965919,-15.49159032,20,5,10
Namibia,-22.13520467,17.22968521,20,5,10
Cambodia,12.70749613,104.9129407,20,5,10
Crimea,45.31582752,34.36850758,20,5,10
Sint_Eustatius,17.49349747,-62.97793455,20,5,8
Bonaire,12.17569252,-68.27910567,20,5,8
Aruba,12.52664858,-69.98618636,20,5,8
Bermuda,32.29670334,-64.76848094,20,5,8
Bonaire_Sint_Eustatius_And_Saba,-68.2545,12.15309836,20,5,8
British_Virgin_Islands,18.41976865,-64.62513987,20,5,8
Cayman_Islands,19.3174921,-81.17618909,20,5,8
Curacao,12.16485744,-68.95044792,20,5,8
Faroe_Islands,62.15015715,-6.943981412,20,5,8
French_Guiana,3.936997591,-53.22729536,20,5,10
French_Polynesia,-17.64502914,-149.4705397,20,5,8
Guadeloupe,16.18579515,-61.67532476,20,5,8
Guam,13.44973153,144.7864615,20,5,8
Hong_Kong,22.44578552,114.1473516,20,5,8
