adm2,latitude,longitude
ABERDEEN,57.163203383836084,-2.190778917851536
ABERDEENSHIRE,57.24332216900419,-2.6274812841465818
ANGLESEY,53.286879033683,-4.361295262774983
ANGUS,56.7296585586766,-2.9166020868754785
ANTRIM_AND_NEWTOWNABBEY,54.70243511360172,-6.202706864765471
ARGYLL_AND_BUTE,56.13736630911219,-5.500637220576689
ARMAGH_BANBRIDGE_AND_CRAIGAVON,54.370705101238926,-6.4512720535086965
BEDFORDSHIRE,52.0677167198919,-0.4499131203120407
BELFAST,54.61005982254767,-5.955950522099351
BERKSHIRE,51.44769562317025,-1.0662512788727867
BLAENAU_GWENT,51.76005167502192,-3.2019002008868154
BRIDGEND,51.5652208925306,-3.601607357110922
BRISTOL,51.469251770167915,-2.5946064053763784
BUCKINGHAMSHIRE,51.83018461493352,-0.7958550999081243
CAERPHILLY,51.649724568669484,-3.214695023452134
CAMBRIDGESHIRE,52.47276025652596,0.14879436260031656
CARDIFF,51.51141821531568,-3.203485173321839
CARMARTHENSHIRE,51.898796115695006,-4.155260112301753
CAUSEWAY_COAST_AND_GLENS,55.05793584267868,-6.594623409736436
CEREDIGION,52.24842657924425,-4.074747218873703
CHESHIRE,53.214589687266596,-2.5366029192168584
CLACKMANNANSHIRE,56.14662165634804,-3.7413201505856835
CLWYD,53.10968026161528,-3.42146882505801
CORNWALL_AND_ISLES_OF_SCILLY,50.403147686532456,-4.828348759967227
CUMBRIA,54.594961099331954,-2.900811284696302
DERBYSHIRE,53.140973820575795,-1.616934713065176
DERRY_AND_STRABANE,54.816567187472884,-7.363991729871524
DEVON,50.75526879344376,-3.809342085582935
DORSET,50.80376037010035,-2.305864872797335
DUMFRIES_AND_GALLOWAY,55.075446176672614,-3.962242964752714
DUNDEE,56.485740285794826,-2.9512928576099067
DURHAM,54.6695719870346,-1.7538127833227466
EAST_AYRSHIRE,55.48301120180833,-4.312580921895654
EAST_DUNBARTONSHIRE,55.95114034373727,-4.226760218541469
EAST_LOTHIAN,55.93973313967371,-2.71865293002942
EAST_RENFREWSHIRE,55.75007791634866,-4.3602183840364654
EAST_RIDING_OF_YORKSHIRE,53.85878158712449,-0.4968053360639633
EDINBURGH,55.92683771389281,-3.2865786701573696
ESSEX,51.789573553330364,0.559988290448027
FALKIRK,55.993760081492766,-3.7929733671792123
FERMANAGH_AND_OMAGH,54.44272518207823,-7.495908008108987
FIFE,56.22994101702167,-3.1211162327142574
GLASGOW,55.85390198957389,-4.2535749849271545
GLOUCESTERSHIRE,51.78091598045967,-2.164607086247225
GREATER_LONDON,51.497842838842516,-0.10258467428032299
GREATER_MANCHESTER,53.51813954489856,-2.2927692826051405
GWYNEDD,52.89788952009423,-4.037279656654343
HAMPSHIRE,51.024729168452275,-1.2882488274182256
HEREFORDSHIRE,52.102387098848624,-2.7345868358344605
HERTFORDSHIRE,51.82553866172082,-0.21368818623064278
HIGHLANDS_AND_ISLANDS,57.82194831799823,-4.7117236628746255
INVERCLYDE,55.90105430275139,-4.748276187224814
KENT,51.22890912194919,0.727316610145352
LANCASHIRE,53.844460701211496,-2.609190470520486
LEICESTERSHIRE,52.66933416395839,-1.0470707480522625
LINCOLNSHIRE,53.17601006280056,-0.2863277235128453
LISBURN_AND_CASTLEREAGH,54.51289604861216,-6.040636095486113
MERSEYSIDE,53.44094623206781,-2.9200851120418396
MERTHYR_TYDFIL,51.738495353818315,-3.3731775010720457
MIDLOTHIAN,55.83204610683017,-3.1111363974896444
MID_AND_EAST_ANTRIM,54.87277864652654,-6.10445656280773
MID_ULSTER,54.619217128121704,-6.786776598554663
MONMOUTHSHIRE,51.76506096113502,-2.8638286536290276
MORAY,57.47052004344773,-3.2715613322145978
